tahun,provinsi,nama_kabupaten,nama_kecamatan,nama_kelurahan,usia,jenis_kelamin,jumlah 
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,15-19,Laki-Laki,668
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,20-24,Laki-Laki,736
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,25-29,Laki-Laki,926
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,30-34,Laki-Laki,788
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,35-39,Laki-Laki,798
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,40-44,Laki-Laki,716
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,45-49,Laki-Laki,722
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,50-54,Laki-Laki,609
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,55-59,Laki-Laki,535
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,60-64,Laki-Laki,388
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,65-69,Laki-Laki,262
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,70-75,Laki-Laki,157
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,>75,Laki-Laki,158
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,0-4,Laki-Laki,307
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,05-09,Laki-Laki,499
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,10-14,Laki-Laki,506
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,15-19,Laki-Laki,572
