"","x"
"1",17853
"2",22284
"3",23656
"4",238
"5",165
"6",58
"7",63
"8",4
"9",6
"10",NA
"11",335
"12",63
"13",53
"14",6
"15",27610
"16",22
"17",NA
"18",17
"19",4747
"20",4
"21",3
"22",NA
"23",NA
"24",NA
"25",NA
"26",NA
"27",NA
"28",NA
"29",NA
"30",NA
"31",NA
"32",1
"33",NA
"34",NA
"35",NA
"36",NA
"37",5
"38",9
"39",NA
"40",NA
"41",2
"42",NA
"43",NA
"44",9
"45",NA
"46",21
"47",6
"48",NA
"49",NA
"50",NA
"51",NA
"52",NA
"53",NA
"54",NA
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",NA
"63",NA
"64",18
"65",393
"66",NA
"67",7
"68",1
"69",2
"70",1
"71",2
"72",38
"73",31
"74",NA
"75",NA
"76",NA
"77",NA
"78",407
"79",NA
"80",520
"81",NA
"82",2
"83",1220
"84",NA
"85",NA
"86",1
"87",9711
"88",1249
