"","x"
"1",1
"2",1
"3",1
"4",16691
"5",18
"6",4188
"7",10
"8",6
"9",47
"10",14
"11",381
"12",25
"13",2
"14",18
"15",15
"16",26392
"17",56
"18",24
"19",1
"20",318
"21",5
"22",21498
"23",271
"24",1
"25",986
"26",124
"27",24412
"28",278
"29",1
"30",11
"31",7
"32",159
"33",1
"34",34
"35",12
"36",15
"37",8
"38",438
"39",56
"40",4
"41",1
"42",5
"43",22
"44",8603
