"","x"
"1",1
"2",1
"3",1
"4",19865
"5",18
"6",4351
"7",10
"8",6
"9",49
"10",15
"11",393
"12",28
"13",2
"14",19
"15",15
"16",26844
"17",58
"18",26
"19",1
"20",340
"21",5
"22",21852
"23",273
"24",1
"25",1023
"26",124
"27",20580
"28",303
"29",1
"30",10
"31",8
"32",185
"33",1
"34",36
"35",12
"36",14
"37",8
"38",447
"39",59
"40",4
"41",1
"42",5
"43",22
"44",8760
