tahun,nama_provinsi,nama_kabupaten/kota,nama_kecamatan,nama_kelurahan,kewarganegaraan,jenis_kelamin,jumlah
2015,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,WNI,Laki-laki,3236
2015,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,WNI,Laki-laki,3289
2015,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,WNI,Laki-laki,1175
2015,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. UNTUNG JAWA,WNI,Laki-laki,1147
2015,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,WNI,Laki-laki,2493
2015,PROVINSI DKI JAKARTA,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. PARI,WNI,Laki-laki,1482
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,WNI,Laki-laki,1678
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,WNI,Laki-laki,9472
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,WNI,Laki-laki,10941
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,WNI,Laki-laki,8975
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,WNI,Laki-laki,6486
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,WNI,Laki-laki,12686
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,WNI,Laki-laki,7793
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,WNI,Laki-laki,16749
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARTINI,WNI,Laki-laki,13963
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,WNI,Laki-laki,9981
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,WNI,Laki-laki,17923
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,WNI,Laki-laki,12829
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,WNI,Laki-laki,17246
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,WNI,Laki-laki,14209
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SERDANG,WNI,Laki-laki,18295
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,WNI,Laki-laki,12008
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,WNI,Laki-laki,20044
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,WNI,Laki-laki,13817
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,WNI,Laki-laki,18272
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,SENEN,WNI,Laki-laki,4475
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KENARI,WNI,Laki-laki,5546
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,PASEBAN,WNI,Laki-laki,14214
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KRAMAT,WNI,Laki-laki,17661
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KWITANG,WNI,Laki-laki,9289
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,WNI,Laki-laki,11352
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,WNI,Laki-laki,14190
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,WNI,Laki-laki,20719
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,WNI,Laki-laki,12755
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,MENTENG,WNI,Laki-laki,15207
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,PEGANGSAAN,WNI,Laki-laki,14040
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,WNI,Laki-laki,4948
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,WNI,Laki-laki,2335
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,KEBON SIRIH,WNI,Laki-laki,8071
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,WNI,Laki-laki,1851
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,WNI,Laki-laki,12714
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,WNI,Laki-laki,11625
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,WNI,Laki-laki,20666
2015,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,WNI,Laki-laki,19655
