"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"570","Jakarta architecture+adaptation = Jakarta arsitektur+adaptasi","","","Etienne Turpin; Adam Obbette; Meredith Miller","","Universitas Indonesia Press","",2013,NA,"",9789794565261,"","A2","",NA,"Book","","nationalism, history",""
"1402","The White House of Weltevreden","","","","","","",2005,NA,"",NA,"","A2","Architecture",NA,"Publication","","Architecture",""
