"","Title","Authors","Co.authors","Editors","Illustrators","Publisher","Edition","Year","Volume","ISBN","ISBN13","ISSN","Call.No","Category","Subject","Type","Description","Tags","Series"
"804","Mengakhiri Era Tenaga Kerja Murah (Indonesian Edition)","Fransiscus Go; Hani Subagio","","","","Gramedia Pustaka Utama","",2014,NA,"6020308383",9786020308388,"","B2","Unknown",NA,"Book","Sinopsis: “Indonesia membutuhkan cetak biru penyusunan kebijakan tenaga kerja, yang diberlakukan untuk periode tertentu, dan dituangkan dalam manpower planning. Sebagian dari perencanaan kebijakan tenaga kerja tersebut, sudah terangkum dalam buku ini.” ––Benny Soetrisno, Wakil Ketua Umum KADIN Bidang Tenaga Kerja. “Pembangunan di sektor pendidikan dengan fokus pada peningkatan pengembangan manusia akan berkontribusi langsung terhadap pertumbuhan ekonomi nasional. Oleh karena itu, akses warga negara terhadap pendidikan harus menjadi perhatian utama. Itulah yang dikemukakan penulis sebagai premis utama dalam buku ini, terkait rendahnya kualitas tenaga kerja di Indonesia.” ––James T. Riady, Wakil Ketua Umum KADIN Bidang Pendidikan dan Kesehatan “Buku yang lengkap, mengupas persoalan kualitas tenaga kerja dalam perspektif upah sebagai manifestasi tingkat pendidikan. Kompetensi tenaga kerja menjadi faktor penentu posisi tawar pekerja dalam dunia kerja.” ––Dr. Tjepy Firmantoro Aloewie, M.Sc., Praktisi “Mengakhiri era tenaga kerja (upah) murah bukan hal yang mustahil, tetapi menjadi prasyarat utama untuk mencapai kemuliaan bagi pekerja Indonesia, melalui link and match antara dunia pendidikan dan dunia kerja. –– Prof. Dr. H. Didin S. Damanhuri, S.E, M.S, D.E.A., Akademisi “Buku ini merupakan tindak lanjut dari pendidikan yang komprehensif di Lemhanas, kontribusi nyata dalam pembangunan ketenagakerjaan di Indonesia.” ––Prof. Dr. Ir. Budi Susilo Soepandji, Gubernur Lemhanas RI “Salut, memimpikan dan antusias berusaha mewujudkan perbaikan tenaga kerja Indonesia.” ––Yunn Bali, rekan perjuangan GMT Property Management “Buku ini lahir di saat yang tepat, ketika ide revolusi mental yang dikemukakan Mas Jokowi menjadi perbincangan banyak kalangan. Congratulation Frans dan Hani.” ––Agustinus Dawarja, advokat dan konsultan hukum pasar modal, pendiri www.lexregis.com “Semoga menjadi buku yang mencerahkan dan memancing tindakan nyata bagi para pemangku kepentingan ketenagakerjaan Indonesia.” ––Peri Farouk, penulis dan pembicara motivasi - from Amzon","",""
"806","Mengelola Konflik: Ketrampilan & Strategi untuk Bertindak","Simon Fisher; Dekha Ibrahim Abdi; Jawed Ludin; Richard Smith; Steve Williams; Sue Williams","","","","The British Council","",NA,NA,"9799637538",NA,"","B2","",NA,"Book","","",""
"824","Mereka Bicara JK","","","","","National Press Club of Indonesia (NPCI)","",2009,NA,"",9789791895637,"","B2","",NA,"Book","","",""
"938","Pembangunan untuk Manusia. Ekonomi Buddhis Abad ke-21","Sulak Sivaraksa","","","","Himpunan Mahasiswa Buddhis Indonesia (HIKMAHBUDHI)","",2009,NA,"",9789749511770,"","B2","",NA,"Book","","",""
"954","Pengantar sejarah dogma kristen : dari abad pertama sampai dengan masa kini","Bernhard Lohse","","","","Gunung Mulia","",1999,NA,"9794152498",NA,"","B2","",NA,"Book","","",""
"963","Penilaian terhadap Korupsi dengan cara Partisipatif (Participation Corruption Appraisal). Metodologi untuk Mengukur Dampak Korupsi terhadap Orang Miskin di daerah Perkotaan","Richard Holloway; Stefanie Teggemann","","","","Partnership for Governance Reform in Indonesia","",NA,NA,"",NA,"","B2","",NA,"Publication","","",""
"988","Personality: Theory and Research","Lawrence A. Pervin","","","","John Wiley & Sons, Inc","6th",1993,NA,"0471571709",9780471571704,"","B2","Unknown",NA,"Book","An in-depth, unbiased presentation of important theories of personality. Emphasizes and delineates the connection between theory and research. Provides case histories which concretely illustrate corresponding abstract concepts. Discusses each major theory while analyzing its strengths and weaknesses. Updated to present cutting-edge developments in its field and to broaden the scope of research to include important aspects of human emotion and motivation. - from Amzon","Personality, Psychology",""
"1002","Pilihan Ekonomi yang Dihadapi Presiden Baru","Gustaf F. Papanek; Raden Pardede; Suahasil Nazara","","","","Pusat Transformasi Kebijakan Publik","",2014,NA,"",9786027148017,"","B2","",NA,"Book","","",""
"1022","Prajurit Jepang yang Tidak Kembali. Membaca Catatan Harian Prajurit Jepang yang Menetap di Indonesia","Hitoshi Kato","","","","Pusat Pengkajian Jepang Press","",2008,NA,"",9789791822305,"","B2","",NA,"Book","","",""
"1043","Program Kota Sosial. Pembangunan Perkotaan yang Bijak Demi Masa Depan Kota Kita","Frank Bielka; Ingke Brodersen; Lutz Freitag; Achim Grossmann; Bernd Hunger; Muhammed Hasim Inam; Folkert Kiepe; Ulrich Pfeiffer; Franz-Georg Rips; Peter Runkel; Klaus Peter Strohmeier","","","","Friedrich Ebert Stiftung","",2016,NA,"",9786028866194,"","B2","",NA,"Book","","",""
