tahun,nama_provinsi,nama_kabupaten_kota,nama_kecamatan,nama_kelurahan,jenis_kelamin,jumlah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KENARI,Laki-laki,2897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,PASEBAN,Laki-laki,7405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KRAMAT,Laki-laki,9236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,KWITANG,Laki-laki,4735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,Laki-laki,6015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Laki-laki,7495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Laki-laki,11037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Laki-laki,6822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,MENTENG,Laki-laki,7745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Laki-laki,7090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,Laki-laki,2541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,Laki-laki,1158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Laki-laki,4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,Laki-laki,1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Laki-laki,6935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,Laki-laki,6172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,Laki-laki,10613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,Laki-laki,10640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,Laki-laki,6630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,Laki-laki,3639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,Laki-laki,11143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Laki-laki,6747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,GALUR,Laki-laki,5796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,Laki-laki,11768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,PROVINSI DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,Laki-laki,28995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
