tahun,kota_kabupaten,kecamatan,kelurahan,jenis_kelamin,jumlah
2017,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Laki-laki,4115
2017,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Laki-laki,8609
2017,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Laki-laki,7201
2017,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Laki-laki,5139
2017,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Laki-laki,9842
2017,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Laki-laki,6726
2017,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Laki-laki,9022
2017,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Laki-laki,7136
2017,JAKARTA PUSAT,KEMAYORAN,SERDANG,Laki-laki,9541
2017,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Laki-laki,6131
2017,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Laki-laki,10518
2017,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Laki-laki,7345
2017,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Laki-laki,9590
2017,JAKARTA PUSAT,SENEN,SENEN,Laki-laki,2424
2017,JAKARTA PUSAT,SENEN,KENARI,Laki-laki,2927
2017,JAKARTA PUSAT,SENEN,PASEBAN,Laki-laki,7529
2017,JAKARTA PUSAT,SENEN,KRAMAT,Laki-laki,9400
2017,JAKARTA PUSAT,SENEN,KWITANG,Laki-laki,4778
2017,JAKARTA PUSAT,SENEN,BUNGUR,Laki-laki,6083
2017,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Laki-laki,7589
2017,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Laki-laki,11095
2017,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Laki-laki,6917
2017,JAKARTA PUSAT,MENTENG,MENTENG,Laki-laki,7872
2017,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Laki-laki,7182
2017,JAKARTA PUSAT,MENTENG,CIKINI,Laki-laki,2568
2017,JAKARTA PUSAT,MENTENG,GONDANGDIA,Laki-laki,1183
2017,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Laki-laki,4163
2017,JAKARTA PUSAT,TANAH ABANG,GELORA,Laki-laki,1090
2017,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Laki-laki,7042
2017,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,Laki-laki,6215
2017,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,Laki-laki,10782
2017,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,Laki-laki,10925
2017,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,Laki-laki,6745
2017,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,Laki-laki,3701
2017,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,Laki-laki,11226
2017,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Laki-laki,6792
2017,JAKARTA PUSAT,JOHAR BARU,GALUR,Laki-laki,5833
2017,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,Laki-laki,11891
2017,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,Laki-laki,28759
2017,JAKARTA UTARA,PENJARINGAN,KAMAL MUARA,Laki-laki,3395
2017,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,Laki-laki,9947
2017,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,Laki-laki,22305
2017,JAKARTA UTARA,PENJARINGAN,PLUIT,Laki-laki,13047
2017,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,Laki-laki,10818
2017,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,Laki-laki,18742
2017,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,Laki-laki,11930
2017,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,Laki-laki,9081
2017,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,Laki-laki,15376
2017,JAKARTA UTARA,TANJUNG PRIOK,SUNTER AGUNG,Laki-laki,21119
2017,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,Laki-laki,13812
2017,JAKARTA UTARA,KOJA,KOJA,Laki-laki,8882
2017,JAKARTA UTARA,KOJA,TUGU UTARA,Laki-laki,20060
2017,JAKARTA UTARA,KOJA,LAGOA,Laki-laki,17371
2017,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,Laki-laki,10029
2017,JAKARTA UTARA,KOJA,TUGU SELATAN,Laki-laki,11649
2017,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,Laki-laki,12435
2017,JAKARTA UTARA,CILINCING,CILINCING,Laki-laki,13137
2017,JAKARTA UTARA,CILINCING,SUKAPURA,Laki-laki,17533
2017,JAKARTA UTARA,CILINCING,MARUNDA,Laki-laki,7585
2017,JAKARTA UTARA,CILINCING,KALI BARU,Laki-laki,20541
2017,JAKARTA UTARA,CILINCING,SEMPER TIMUR,Laki-laki,10588
2017,JAKARTA UTARA,CILINCING,ROROTAN,Laki-laki,11114
2017,JAKARTA UTARA,CILINCING,SEMPER BARAT,Laki-laki,20688
2017,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,Laki-laki,10724
2017,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,Laki-laki,23376
2017,JAKARTA UTARA,PADEMANGAN,ANCOL,Laki-laki,7853
2017,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,Laki-laki,9792
2017,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,Laki-laki,14614
2017,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,Laki-laki,10360
2017,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,Laki-laki,18897
2017,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,Laki-laki,21787
2017,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,Laki-laki,19046
2017,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,Laki-laki,10250
2017,JAKARTA BARAT,CENGKARENG,KAPUK,Laki-laki,40890
2017,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,Laki-laki,23764
2017,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,Laki-laki,5168
2017,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,Laki-laki,5113
2017,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,Laki-laki,8996
2017,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,Laki-laki,9015
2017,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,Laki-laki,7647
2017,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,Laki-laki,11423
2017,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,Laki-laki,12167
2017,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,Laki-laki,4248
2017,JAKARTA BARAT,TAMAN SARI,KRUKUT,Laki-laki,5652
2017,JAKARTA BARAT,TAMAN SARI,MAPHAR,Laki-laki,5111
2017,JAKARTA BARAT,TAMAN SARI,TANGKI,Laki-laki,3868
2017,JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,Laki-laki,2295
2017,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,Laki-laki,5341
2017,JAKARTA BARAT,TAMAN SARI,GLODOK,Laki-laki,2223
2017,JAKARTA BARAT,TAMAN SARI,PINANGSIA,Laki-laki,3520
2017,JAKARTA BARAT,TAMBORA,TAMBORA,Laki-laki,3200
2017,JAKARTA BARAT,TAMBORA,KALI ANYAR,Laki-laki,7527
2017,JAKARTA BARAT,TAMBORA,DURI UTARA,Laki-laki,5960
2017,JAKARTA BARAT,TAMBORA,TANAH SEREAL,Laki-laki,7574
2017,JAKARTA BARAT,TAMBORA,KERENDANG,Laki-laki,6319
2017,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,Laki-laki,9617
2017,JAKARTA BARAT,TAMBORA,ANGKE,Laki-laki,9042
2017,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,Laki-laki,6399
2017,JAKARTA BARAT,TAMBORA,PEKOJAN,Laki-laki,6706
2017,JAKARTA BARAT,TAMBORA,ROA MALAKA,Laki-laki,1080
2017,JAKARTA BARAT,TAMBORA,DURI SELATAN,Laki-laki,4181
2017,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,Laki-laki,15374
2017,JAKARTA BARAT,KEBON JERUK,SUKABUMI UTARA,Laki-laki,11122
2017,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,Laki-laki,10955
2017,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,Laki-laki,6879
2017,JAKARTA BARAT,KEBON JERUK,DURI KEPA,Laki-laki,17989
2017,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,Laki-laki,13494
2017,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,Laki-laki,9551
2017,JAKARTA BARAT,KALI DERES,KALIDERES,Laki-laki,21315
2017,JAKARTA BARAT,KALI DERES,SEMANAN,Laki-laki,21109
2017,JAKARTA BARAT,KALI DERES,TEGAL ALUR,Laki-laki,25123
2017,JAKARTA BARAT,KALI DERES,KAMAL,Laki-laki,15271
2017,JAKARTA BARAT,KALI DERES,PEGADUNGAN,Laki-laki,20984
2017,JAKARTA BARAT,PALMERAH,PALMERAH,Laki-laki,18515
2017,JAKARTA BARAT,PALMERAH,SLIPI,Laki-laki,5015
2017,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,Laki-laki,7511
2017,JAKARTA BARAT,PALMERAH,JATI PULO,Laki-laki,8623
2017,JAKARTA BARAT,PALMERAH,KEMANGGISAN,Laki-laki,9584
2017,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,Laki-laki,6413
2017,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,Laki-laki,15993
2017,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,Laki-laki,13028
2017,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,Laki-laki,9037
2017,JAKARTA BARAT,KEMBANGAN,SRENGSENG,Laki-laki,12764
2017,JAKARTA BARAT,KEMBANGAN,JOGLO,Laki-laki,11557
2017,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,Laki-laki,7871
2017,JAKARTA SELATAN,TEBET,TEBET TIMUR,Laki-laki,5166
2017,JAKARTA SELATAN,TEBET,TEBET BARAT,Laki-laki,6156
2017,JAKARTA SELATAN,TEBET,MENTENG DALAM,Laki-laki,10920
2017,JAKARTA SELATAN,TEBET,KEBON BARU,Laki-laki,10255
2017,JAKARTA SELATAN,TEBET,BUKIT DURI,Laki-laki,10309
2017,JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,Laki-laki,6859
2017,JAKARTA SELATAN,TEBET,MANGGARAI,Laki-laki,8728
2017,JAKARTA SELATAN,SETIA BUDI,SETIA BUDI,Laki-laki,922
2017,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,Laki-laki,813
2017,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,Laki-laki,4687
2017,JAKARTA SELATAN,SETIA BUDI,KARET,Laki-laki,2979
2017,JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS,Laki-laki,8220
2017,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,Laki-laki,8080
2017,JAKARTA SELATAN,SETIA BUDI,GUNTUR,Laki-laki,1155
2017,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,Laki-laki,1847
2017,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,Laki-laki,5583
2017,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,Laki-laki,6586
2017,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,Laki-laki,13105
2017,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,Laki-laki,9775
2017,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,Laki-laki,4023
2017,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,Laki-laki,7389
2017,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,Laki-laki,10991
2017,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,Laki-laki,7915
2017,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,Laki-laki,11713
2017,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,Laki-laki,16816
2017,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,Laki-laki,10833
2017,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,Laki-laki,12901
2017,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,Laki-laki,13065
2017,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,Laki-laki,15650
2017,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,Laki-laki,11698
2017,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,Laki-laki,12857
2017,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,Laki-laki,13094
2017,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,Laki-laki,12116
2017,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,Laki-laki,15258
2017,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,Laki-laki,10508
2017,JAKARTA SELATAN,CILANDAK,PONDOK LABU,Laki-laki,12927
2017,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,Laki-laki,6512
2017,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,Laki-laki,7947
2017,JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,Laki-laki,782
2017,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,Laki-laki,2742
2017,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,Laki-laki,4446
2017,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,Laki-laki,930
2017,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,Laki-laki,1594
2017,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,Laki-laki,943
2017,JAKARTA SELATAN,KEBAYORAN BARU,PULO,Laki-laki,1633
2017,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,Laki-laki,3571
2017,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,Laki-laki,11624
2017,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,Laki-laki,10260
2017,JAKARTA SELATAN,PANCORAN,PANCORAN,Laki-laki,5688
2017,JAKARTA SELATAN,PANCORAN,KALIBATA,Laki-laki,12215
2017,JAKARTA SELATAN,PANCORAN,RAWA JATI,Laki-laki,5938
2017,JAKARTA SELATAN,PANCORAN,DUREN TIGA,Laki-laki,8389
2017,JAKARTA SELATAN,PANCORAN,PENGADEGAN,Laki-laki,6238
2017,JAKARTA SELATAN,PANCORAN,CIKOKO,Laki-laki,3316
2017,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,Laki-laki,17324
2017,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,Laki-laki,16583
2017,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,Laki-laki,10581
2017,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,Laki-laki,15201
2017,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,Laki-laki,11224
2017,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,Laki-laki,10167
2017,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,Laki-laki,7880
2017,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,Laki-laki,15014
2017,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,Laki-laki,15192
2017,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,Laki-laki,10344
2017,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,Laki-laki,11845
2017,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,Laki-laki,9497
2017,JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA,Laki-laki,8639
2017,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,Laki-laki,7629
2017,JAKARTA TIMUR,MATRAMAN,PAL MERIAM,Laki-laki,6054
2017,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,Laki-laki,5054
2017,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,Laki-laki,9978
2017,JAKARTA TIMUR,PULO GADUNG,PULO GADUNG,Laki-laki,10565
2017,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,Laki-laki,12243
2017,JAKARTA TIMUR,PULO GADUNG,CIPINANG,Laki-laki,12009
2017,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,Laki-laki,7379
2017,JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,Laki-laki,11255
2017,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,Laki-laki,12256
2017,JAKARTA TIMUR,PULO GADUNG,JATI,Laki-laki,9637
2017,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,Laki-laki,7790
2017,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,Laki-laki,11008
2017,JAKARTA TIMUR,JATINEGARA,BALI MESTER,Laki-laki,2934
